code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
OkHttpClient.Builder(),repo,README.md,9,9,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,ed5851e3a1b97f6d82a132ed6aea934637d693c2,1653503520,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/javatests/com/google/net/cronet/okhttptransport/CronetInterceptorEndToEndTest.java#L115
QUIC,repo,README.md,2,2,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,ed5851e3a1b97f6d82a132ed6aea934637d693c2,1653503520,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/java/com/google/net/cronet/okhttptransport/ResponseConverter.java#L187
Request,repo,README.md,78,78,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,ed5851e3a1b97f6d82a132ed6aea934637d693c2,1653503520,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/RecordedResponse.java#L34
Request.Builder(),repo,README.md,71,71,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,ed5851e3a1b97f6d82a132ed6aea934637d693c2,1653503520,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/CallTest.java#L126
Response,repo,README.md,76,76,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,ed5851e3a1b97f6d82a132ed6aea934637d693c2,1653503520,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/RecordingCallback.java#L39
cacheResponse,repo,README.md,8,8,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,ed5851e3a1b97f6d82a132ed6aea934637d693c2,1653503520,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/RecordedResponse.java#L113
networkResponse,repo,README.md,8,8,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,ed5851e3a1b97f6d82a132ed6aea934637d693c2,1653503520,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/RecordedResponse.java#L98
priorResponse,repo,README.md,12,12,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,ed5851e3a1b97f6d82a132ed6aea934637d693c2,1653503520,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/RecordedResponse.java#L90
receivedResponseAtMillis,repo,README.md,1,1,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,ed5851e3a1b97f6d82a132ed6aea934637d693c2,1653503520,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/RecordedResponse.java#L160
response.body(),repo,README.md,23,23,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,ed5851e3a1b97f6d82a132ed6aea934637d693c2,1653503520,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/RecordingCallback.java#L41
sentRequestAtMillis,repo,README.md,1,1,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,ed5851e3a1b97f6d82a132ed6aea934637d693c2,1653503520,5482365c0dd3e8400db91faf1770c72f951984bc,1652352627,https://github.com/google/cronet-transport-for-okhttp/blob/5482365c0dd3e8400db91faf1770c72f951984bc/README.md,https://github.com/google/cronet-transport-for-okhttp/blob/ed5851e3a1b97f6d82a132ed6aea934637d693c2/third_party/okhttp_tests/javatests/okhttp3/RecordedResponse.java#L152
